MileagePerPerson,Income
150073966,333641788
138443160,316143466
152733488,338703703
152622202,344454306
154809785,352013031
137394487,313056601
132226452,304923127
134468109,315661314
139941201,327450098
146505611,337113206
139224847,321095205
142466917,331166050
121754976,279321762
123890600,287242064
131345020,304039659
127734156,302248715
129872182,303260939
113198582,264246758
111914123,262877463
104731278,251628687
114507486,271485479
119387571,279441257
112835605,264898779
117700195,275899123
100626631,236118378
91259118,220031182
104481640,246311218
99222418,234261365
100659110,236016144
96254221,225841646
90011654,214515914
91084083,220396276
93245178,221432451
99423837,233809098
95203790,228021010
98449820,230294555
91810739,217279066
89386295,212475296
99338275,235906931
98129929,230803804
98709664,233182410
96228565,224155464
88913229,216807124
92131044,223650212
94685787,231697960
100421603,239726264
94576890,225806937
96498806,234617035
95831517,222634398
85667475,199595596
97497228,226781919
97886824,223187959
96864923,222700387
93498446,215524310
89233477,205816458
87176331,203749950
94481673,218428090
99863972,229637083
95444408,223309515
99027440,243492955
89628528,207626804
88003576,202678712
94227067,219292652
95569481,217615836
97845228,223632339
92383846,216016312
87201500,196601661
90635517,210821624
86640930,198380645
96095340,219936389
93637173,215101264
79783119,173444855
73538805,160406155
70237208,155753355
78725734,177227389
76917221,172814995
77523592,176756075
69584290,158280301
68832536,156137639
72519365,162952829
71888023,159497772
75430110,171874502
72427893,167275299
74684286,173745852
69395338,155683734
61193393,137279145
74777645,170616847
72653151,164086709
72922941,166229566
66421013,148702999
65049262,150223475
65651652,151511395
67554452,152283507
71385762,162774878
68901383,159103941
70925127,167805045
64870769,146481440
64089787,142093222
67884442,154299674
67746595,154115709
66196911,154512183
62997628,141963199
63426973,143848835
59623123,133853948
65109430,149097435
69699484,153986459
64588858,146587658
64872487,168043506
59489959,131461512
44345731,99781143
48107639,108978731
41484502,93656280
46564746,104634635
50853411,122390865
53608194,120025680
52684503,118803312
52760316,118974046
55207434,123357518
52409146,118517867
53004228,171856812
47216086,104439692
44099873,98311866
52170003,118152098
50976246,114429521
29960998,69363062
7632149,17778867
11291367,24809784
20887195,45943676
32525445,73883976
40057330,88734987
40957151,91548065
43364129,98732259
36863903,80150017
